action,count
assignCodPicking,100795
PickupBill,26623
confirmTmpPickedPackageStatus,26571
updateDelayPickingByCod,17246
verifySessionPackage,10355
changePackageStatus,9286
updatePickedByCod,8612
PickupCrossProvinceBill,8170
changeCodForPackagesInCart,6914
putPackages2Bag,6361
TransferToBothBill,6225
cfmTransit,5894
ReturnBill,5368
distributorCfmReturning,5268
confirmTmpReturnedPackageStatus,5219
updateReturnedByCod,5175
importStationByDistributer,4777
assignBagWithIdentifyBag,4494
distributorCfmDeliver,3240
smartScaleScanningPackage,2648
privateNotePackage,2374
verifySessionBags,1702
putInBox,1603
ArrivePickingPoint,1095
TakeAPhotoReturnRequest,939
RefundBill,820
confirmTmpDeliveredPackageStatus,804
updateDelayDeliveringByCod,593
printfPackage,556
takeReturningPackages,491
cfmImpPkgFrPONew,484
ScanPackageToBag,453
editPackage,387
scanBox,360
confirmExportBox,356
updateTmpPickingStatus,335
delayPickPackageReason,327
updateDeliverCod,301
autoReassignDateDeliver,294
ImportPkgCheckIn,241
saveIsfrageImages,204
updateDeliverWorkshiftByCod,201
updateTmpReturningStatus,162
confirmTmpDelayReturningPackageStatus,149
updateDelayReturningByCod,120
ArriveDeliveringPoint,118
updateNotDeliveredByCod,105
changeComingReturnCod,105
changeComingReturnCodAction,105
NVBCTakeAPhotoDelivery,92
updateDeliverWorkShiftPackage,91
updateTmpDeliveringStatus,88
updatePickWorkShiftPackage,80
feedbackCancelPackage,79
delayReturnPackageReason,77
DteamTakeAPhotoDeliver,67
changeTrfSorting,63
saveSealForSpecialPackage,61
putPackages2TmpBag,51
changeCurStationBagSurplus,45
feedbackReDelivery,44
changeAlias,40
changeAttributeForSurplus,39
changeCart,38
cfmDonePrepaymnet,38
takeOutPackages2Bag,38
updateReinforcedPackages,35
approvedPackage,35
updateNotPickedByCod,31
changeTransferStationByChangeCart,30
delayDeliverPackageReason,29
changePickCod,29
changePickCodAction,29
PkBusCheckinPackage,29
changeCustomerFirstAddress,27
TakeAPhotoDeliveryPhotos,26
confirmImportPackageApart,26
TakeAPhotoPicked,25
changeDelieverCartId,24
NVBCConfirmImageWorkshift,23
confirmIssueHandovers,22
BlurredBarcode,22
Prepayment_qrBill,21
scanPackageCreateBagB2C,21
changeTransferStation,21
confirmPackageHandover,20
updatePickAddressCart,19
updateDeliverAddressCart,19
reassignDeliverCart,19
PrepaymentBill,17
changeCustomerLastAddress,16
putPackageIntoRc,14
PkBusReportMissingPackage,13
checkPackageSealScanned,12
updateStationReturnCart,11
updateReturnCart,11
changeCurStation,11
saveRealImportStation,10
NVBC_CONFIRM_XTEAM_REPORT_CUSTOMER,9
shopSigningHandover,9
checkPackageBBS,8
ChangeDeliverCodByConfirmDeliveringByOperator,8
confirmBigSizeQuantity,6
TakeAPhotoDeliveringTiktokPackage,6
updateDeliveredCompletelyByCod,6
requestHandOverPackages,5
notPickedPackageReason,5
confirmImportBox,4
importDestinationBox,4
codConfirmWillPickup,3
TakeAPhotoCheckBagDestStation,3
changePickedCod,3
TransferToBothAcceptBill,3
cfmImportV4JobQ,3
csCancelPackage,2
Refund_payment_qrBill,2
printPackageBBS,2
TakeAPhotoCheckBox,2
Refund_paymentBill,2
updateTfrSortingByVerifySessionBags,2
updatePickShiftPackageSentAtPO,2
ChangePackageSize,2
cdbsod,2
putOutBox,1
TakeAPhotoSignatureTiktokPackage,1
openPutToBag,1
updateStatusMissingPackage,1
approvedDeliveryDate,1
customerCommitmentLetter,1
CODUpdatePickMoney,1
unScanPackageCreateBagB2C,1
confirmChangeAddress,1
exportBigSizePackages,1
TakeAPhotoReturn,1
