sequence,count,length
assignCodPicking -> assignCodPicking -> assignCodPicking,3158,3
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,2056,5
assignCodPicking -> assignCodPicking -> assignCodPicking -> cfmTransit -> TransferToBothBill,1311,5
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,927,4
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill,598,5
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill,587,7
assignCodPicking -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill,539,5
assignCodPicking -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill,507,7
putPackages2Bag -> smartScaleScanningPackage -> putInBox,335,3
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,308,6
confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,285,3
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,273,7
updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,271,3
assignCodPicking -> distributorCfmReturning -> importStationByDistributer,198,3
assignCodPicking -> cfmTransit -> TransferToBothBill,192,3
ReturnBill -> updateReturnedByCod -> confirmTmpReturnedPackageStatus,160,3
ReturnBill -> confirmTmpReturnedPackageStatus -> updateReturnedByCod,156,3
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> putPackages2Bag -> assignBagWithIdentifyBag -> cfmTransit -> TransferToBothBill,141,9
putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupCrossProvinceBill -> PickupBill,136,6
assignCodPicking -> importStationByDistributer -> distributorCfmReturning,136,3
updateReturnedByCod -> ReturnBill -> confirmTmpReturnedPackageStatus,131,3
confirmTmpReturnedPackageStatus -> ReturnBill -> updateReturnedByCod,123,3
assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill,122,8
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> verifySessionPackage,121,7
distributorCfmReturning -> importStationByDistributer -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,121,5
assignCodPicking -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill -> putPackages2Bag -> assignBagWithIdentifyBag -> cfmTransit -> TransferToBothBill,118,9
changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill,116,3
distributorCfmReturning -> importStationByDistributer -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,113,5
assignCodPicking -> assignCodPicking -> verifySessionPackage,107,3
changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> cfmTransit -> TransferToBothBill,105,5
importStationByDistributer -> distributorCfmReturning -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,105,5
importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,104,5
confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill,103,3
verifySessionPackage -> verifySessionPackage -> verifySessionPackage,103,3
changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill,101,4
assignCodPicking -> assignCodPicking -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill,98,8
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,97,8
putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> PickupBill,95,6
putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill,94,6
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> importStationByDistributer -> distributorCfmReturning,94,7
