count,from_action,to_action
57280,assignCodPicking,assignCodPicking
9772,confirmTmpPickedPackageStatus,PickupBill
7528,confirmTmpPickedPackageStatus,updateDelayPickingByCod
7048,updateDelayPickingByCod,PickupBill
6584,updateDelayPickingByCod,confirmTmpPickedPackageStatus
6461,PickupBill,confirmTmpPickedPackageStatus
5824,verifySessionPackage,verifySessionPackage
5749,cfmTransit,TransferToBothBill
5271,assignCodPicking,confirmTmpPickedPackageStatus
4446,PickupBill,PickupCrossProvinceBill
4421,PickupBill,updateDelayPickingByCod
4407,putPackages2Bag,assignBagWithIdentifyBag
3476,confirmTmpPickedPackageStatus,updatePickedByCod
3078,updatePickedByCod,PickupBill
2923,updatePickedByCod,confirmTmpPickedPackageStatus
2774,assignCodPicking,updateDelayPickingByCod
2685,PickupBill,assignCodPicking
2665,changeCodForPackagesInCart,changePackageStatus
2532,distributorCfmReturning,importStationByDistributer
2461,changePackageStatus,assignCodPicking
2334,assignCodPicking,PickupBill
2305,confirmTmpReturnedPackageStatus,updateReturnedByCod
2259,updateReturnedByCod,ReturnBill
2233,importStationByDistributer,distributorCfmReturning
2118,updateReturnedByCod,confirmTmpReturnedPackageStatus
2092,confirmTmpReturnedPackageStatus,ReturnBill
2042,PickupBill,changePackageStatus
1863,assignCodPicking,updatePickedByCod
1767,assignCodPicking,cfmTransit
1737,assignCodPicking,changeCodForPackagesInCart
1710,changePackageStatus,changeCodForPackagesInCart
1638,assignCodPicking,putPackages2Bag
1608,PickupCrossProvinceBill,cfmTransit
1582,changePackageStatus,confirmTmpPickedPackageStatus
1517,changeCodForPackagesInCart,assignCodPicking
1413,updatePickedByCod,PickupCrossProvinceBill
1353,assignCodPicking,verifySessionPackage
1332,PickupBill,updatePickedByCod
1308,PickupCrossProvinceBill,PickupBill
1219,confirmTmpPickedPackageStatus,PickupCrossProvinceBill
1115,PickupBill,changeCodForPackagesInCart
1033,changePackageStatus,updateDelayPickingByCod
1024,PickupCrossProvinceBill,confirmTmpPickedPackageStatus
988,updateDelayPickingByCod,assignCodPicking
951,putPackages2Bag,putInBox
940,PickupCrossProvinceBill,updatePickedByCod
933,assignBagWithIdentifyBag,confirmTmpPickedPackageStatus
926,confirmTmpPickedPackageStatus,assignCodPicking
844,ReturnBill,confirmTmpReturnedPackageStatus
838,assignBagWithIdentifyBag,PickupBill
825,assignBagWithIdentifyBag,updatePickedByCod
811,putPackages2Bag,smartScaleScanningPackage
798,changePackageStatus,PickupBill
777,ReturnBill,updateReturnedByCod
769,assignBagWithIdentifyBag,PickupCrossProvinceBill
715,changeCodForPackagesInCart,confirmTmpPickedPackageStatus
688,assignCodPicking,distributorCfmReturning
665,changeCodForPackagesInCart,updateDelayPickingByCod
661,confirmTmpPickedPackageStatus,changeCodForPackagesInCart
633,updateDelayPickingByCod,changeCodForPackagesInCart
625,assignCodPicking,changePackageStatus
619,smartScaleScanningPackage,putInBox
