pkg_order,num_actions,unique_actions,action_diversity,action_sequence_str,shop_id,shop_type_name_x,shop_status_name_x,shop__seniority_x,shop__categories_x,address__ward_name_x,address__district_name_x,address__province_name_x,shop_type_name_y,seniority_group,shop_status_name_y,shop__seniority_y,shop__categories_y,address__ward_name_y,address__district_name_y,address__province_name_y
1579552688,14,10,0.7142857142857143,changePackageStatus → assignCodPicking → updateDelayPickingByCod → confirmTmpPickedPackageStatus → PickupBill → assignCodPicking → updatePickedByCod → PickupBill → confirmTmpPickedPackageStatus → distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver,83675c8e-028f-43ad-b432-3b5cf8a57c8c,Standard (C2C),Đang làm việc,7,,Xã Ba Vì,Huyện Ba Tơ,Quảng Ngãi,Standard (C2C),Nhóm 1 - Mới,Đang làm việc,7,,Xã Ba Vì,Huyện Ba Tơ,Quảng Ngãi
1845749231,13,10,0.7692307692307693,changePackageStatus → changeCodForPackagesInCart → assignCodPicking → updateDelayPickingByCod → confirmTmpPickedPackageStatus → PickupBill → assignCodPicking → updatePickedByCod → PickupCrossProvinceBill → PickupBill → confirmTmpPickedPackageStatus → smartScaleScanningPackage → printfPackage,27c32028-c96e-490b-b625-c7de95cb2350,Standard (C2C),Đang làm việc,0,"[""accessories_new""]",Thị trấn Ba Tơ,Huyện Ba Tơ,Quảng Ngãi,Standard (C2C),Nhóm 1 - Mới,Đang làm việc,0,"[""accessories_new""]",Thị trấn Ba Tơ,Huyện Ba Tơ,Quảng Ngãi
1772906225,12,10,0.8333333333333334,NVBCTakeAPhotoDelivery → NVBCConfirmImageWorkshift → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → verifySessionPackage → saveSealForSpecialPackage → saveIsfrageImages → saveSealForSpecialPackage → saveIsfrageImages → putPackages2Bag → putInBox,575dcdc4-9972-4aa6-8d2e-cbaf754489d4,Brand,Đang làm việc,10,,Thị trấn Chúc Sơn,Chương Mỹ,Hà Nội,Brand,Nhóm 1 - Mới,Đang làm việc,10,,Thị trấn Chúc Sơn,Chương Mỹ,Hà Nội
1571672060,17,9,0.5294117647058824,distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → verifySessionPackage → saveIsfrageImages → verifySessionPackage → RefundBill → confirmTmpDeliveredPackageStatus → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,5abb4511-04e4-4258-b07f-14ac0a0a0269,Pro (B2C),Đang làm việc,88,[],Xã Xuân Quan,Huyện Văn Giang,Hưng Yên,Pro (B2C),Nhóm 3 - Lâu năm,Đang làm việc,88,[],Xã Xuân Quan,Huyện Văn Giang,Hưng Yên
1395852183,12,9,0.75,assignCodPicking → confirmTmpPickedPackageStatus → updatePickedByCod → PickupBill → PickupCrossProvinceBill → putPackages2Bag → smartScaleScanningPackage → smartScaleScanningPackage → takeOutPackages2Bag → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,39aa6505-88be-45de-9c87-eb5580372dcd,Standard (C2C),Đang làm việc,19,"[""dry_food""]",Xã Phú Nghĩa,Huyện Bù Gia Mập,Bình Phước,Standard (C2C),Nhóm 2 - Trung bình,Đang làm việc,19,"[""dry_food""]",Xã Phú Nghĩa,Huyện Bù Gia Mập,Bình Phước
1122976066,9,9,1.0,RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → privateNotePackage → updateDeliverWorkshiftByCod → printfPackage → verifySessionPackage → saveIsfrageImages → distributorCfmDeliver,5e8b047c-fff4-4450-ac15-46630a6e4c46,Pro (B2C),Đang làm việc,63,"[""fashion_new""]",,Quận Đống Đa,Hà Nội,Pro (B2C),Nhóm 3 - Lâu năm,Đang làm việc,63,"[""fashion_new""]",,Quận Đống Đa,Hà Nội
1716558409,10,9,0.9,distributorCfmDeliver → privateNotePackage → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → updateDeliverWorkshiftByCod → printfPackage → verifySessionPackage → NVBCTakeAPhotoDelivery → distributorCfmDeliver,6268c7cc-e8cc-48b5-b7b9-43250a6e4d53,Top Brand,Đang làm việc,38,[],Phường Phước Long A,Quận 9,TP Hồ Chí Minh,Top Brand,Nhóm 3 - Lâu năm,Đang làm việc,38,[],Phường Phước Long A,Quận 9,TP Hồ Chí Minh
1391170063,20,9,0.45,updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage → confirmIssueHandovers → feedbackReDelivery → feedbackReDelivery → distributorCfmDeliver,67c03a1e-178c-472d-b2bf-e38a0a6e4e65,Pro (B2C),Đang làm việc,4,,Phường Hoàng Văn Thụ,Thành phố Thái Nguyên,Thái Nguyên,Pro (B2C),Nhóm 1 - Mới,Đang làm việc,4,,Phường Hoàng Văn Thụ,Thành phố Thái Nguyên,Thái Nguyên
1675131291,13,9,0.6923076923076923,verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → changePackageStatus → RefundBill → verifySessionPackage → verifySessionPackage → verifySessionPackage → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,67a3289c-7064-4259-a3c9-40af0a6e4c3d,Pro (B2C),Đang làm việc,4,"[""others""]",Xã Đồng Thịnh,Huyện Sông Lô,Vĩnh Phúc,Pro (B2C),Nhóm 1 - Mới,Đang làm việc,4,"[""others""]",Xã Đồng Thịnh,Huyện Sông Lô,Vĩnh Phúc
1389779439,9,9,1.0,verifySessionPackage → changeDelieverCartId → changeCustomerFirstAddress → changeCustomerLastAddress → changeTransferStation → editPackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,6094df96-15dc-43a3-a030-4fcc0a6e4c24,Pro (B2C),Đang làm việc,50,"[""fashion_new""]",Phường An Lộc,Thị xã Bình Long,Bình Phước,Pro (B2C),Nhóm 3 - Lâu năm,Đang làm việc,50,"[""fashion_new""]",Phường An Lộc,Thị xã Bình Long,Bình Phước
