pkg_order,action,username,length
1211422069,verifySessionPackage -> updateNotDeliveredByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> privateNotePackage -> cfmTransit -> TransferToBothBill,quanvc5,7
1553354807,verifySessionPackage -> updateNotDeliveredByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> privateNotePackage,quanvc5,5
1868132548,verifySessionPackage -> updateNotDeliveredByCod -> confirmTmpDeliveredPackageStatus -> RefundBill,quanvc5,4
1561199144,verifySessionPackage -> updateDeliverWorkshiftByCod -> updateDeliverWorkshiftByCod -> distributorCfmDeliver -> distributorCfmDeliver -> distributorCfmDeliver -> RefundBill -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod,quanvc5,9
1462970605,verifySessionPackage -> updateDeliverWorkshiftByCod -> updateDeliverWorkshiftByCod -> distributorCfmDeliver -> distributorCfmDeliver -> distributorCfmDeliver,quanvc5,6
1437834088,verifySessionPackage -> updateDeliverWorkshiftByCod -> saveIsfrageImages,quanvc5,3
1301091085,verifySessionPackage -> updateDeliverWorkshiftByCod -> privateNotePackage -> updateDeliverWorkshiftByCod -> distributorCfmDeliver -> distributorCfmDeliver -> updateDeliverCod -> editPackage,quanvc5,8
1699045815,verifySessionPackage -> updateDeliverWorkshiftByCod -> privateNotePackage -> distributorCfmDeliver,quanvc5,4
1324723940,verifySessionPackage -> updateDeliverWorkshiftByCod -> distributorCfmDeliver -> privateNotePackage -> cfmTransit -> TransferToBothBill,quanvc5,6
1828174548,verifySessionPackage -> updateDeliverWorkshiftByCod -> distributorCfmDeliver -> privateNotePackage,quanvc5,4
1768846252,verifySessionPackage -> updateDeliverWorkshiftByCod -> distributorCfmDeliver -> distributorCfmDeliver -> ArriveDeliveringPoint -> updateTmpDeliveringStatus -> delayDeliverPackageReason -> RefundBill -> confirmTmpDeliveredPackageStatus,quanvc5,9
1419024497,verifySessionPackage -> updateDeliverWorkshiftByCod -> distributorCfmDeliver -> distributorCfmDeliver,quanvc5,4
1342980262,verifySessionPackage -> updateDeliverWorkshiftByCod -> distributorCfmDeliver,quanvc5,3
1830424748,verifySessionPackage -> updateDeliverWorkshiftByCod -> changePackageStatus -> RefundBill -> privateNotePackage,quanvc5,5
1154778998,verifySessionPackage -> updateDeliverCod -> editPackage -> editPackage -> updateDeliverCod,quanvc5,5
1231290589,verifySessionPackage -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> updateDeliverWorkshiftByCod -> updateDeliverWorkshiftByCod -> distributorCfmDeliver -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> distributorCfmDeliver -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> privateNotePackage,quanvc5,15
1541150655,verifySessionPackage -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> distributorCfmDeliver -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> distributorCfmDeliver -> updateNotDeliveredByCod -> confirmTmpDeliveredPackageStatus -> RefundBill,quanvc5,12
1443154232,verifySessionPackage -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> distributorCfmDeliver -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> distributorCfmDeliver -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill,quanvc5,12
